#number of points averaged per size parameter = 4999
#   x        qext          qsca q         back            gsca           qp180
0.1470  -0.059821513    0.001151936    0.001682950    0.012324429    0.116260702
0.1480  -0.060392482    0.001184019    0.001729244    0.012478410    0.116221846
0.1490  -0.060966863    0.001216776    0.001776489    0.012633007    0.116182832
0.1500  -0.061544685    0.001250218    0.001824699    0.012788210    0.116143662
0.1510  -0.062125971    0.001284354    0.001873885    0.012944009    0.116104340
0.1520  -0.062710751    0.001319194    0.001924063    0.013100393    0.116064867
0.1530  -0.063299049    0.001354748    0.001975244    0.013257351    0.116025246
0.1540  -0.063890893    0.001391026    0.002027443    0.013414873    0.115985481
0.1550  -0.064486309    0.001428038    0.002080673    0.013572948    0.115945572
0.1560  -0.065085325    0.001465796    0.002134949    0.013731564    0.115905524
0.1570  -0.065687968    0.001504308    0.002190283    0.013890712    0.115865339
0.1580  -0.066294264    0.001543586    0.002246690    0.014050378    0.115825020
0.1590  -0.066904240    0.001583640    0.002304183    0.014210553    0.115784569
0.1600  -0.067517925    0.001624481    0.002362778    0.014371224    0.115743990
0.1610  -0.068135344    0.001666119    0.002422488    0.014532380    0.115703284
0.1620  -0.068756527    0.001708565    0.002483327    0.014694010    0.115662455
0.1630  -0.069381499    0.001751831    0.002545310    0.014856100    0.115621507
0.1640  -0.070010289    0.001795926    0.002608451    0.015018640    0.115580441
0.1650  -0.070642924    0.001840863    0.002672766    0.015181616    0.115539261
0.1660  -0.071279432    0.001886652    0.002738269    0.015345017    0.115497969
0.1670  -0.071919841    0.001933305    0.002804974    0.015508830    0.115456570
0.1680  -0.072564178    0.001980833    0.002872898    0.015673043    0.115415065
0.1690  -0.073212472    0.002029247    0.002942054    0.015837642    0.115373458
0.1700  -0.073864750    0.002078559    0.003012458    0.016002615    0.115331752
0.1710  -0.074521041    0.002128780    0.003084126    0.016167950    0.115289951
0.1720  -0.075181373    0.002179923    0.003157073    0.016333631    0.115248057
0.1730  -0.075845774    0.002231999    0.003231314    0.016499648    0.115206074
0.1740  -0.076514272    0.002285020    0.003306866    0.016665985    0.115164004
0.1750  -0.077186896    0.002338998    0.003383743    0.016832629    0.115121852
0.1760  -0.077863674    0.002393944    0.003461963    0.016999567    0.115079621
0.1770  -0.078544635    0.002449873    0.003541540    0.017166785    0.115037314
0.1780  -0.079229808    0.002506795    0.003622491    0.017334268    0.114994934
0.1790  -0.079919221    0.002564722    0.003704833    0.017502002    0.114952484
0.1800  -0.080612902    0.002623669    0.003788581    0.017669973    0.114909969
0.1810  -0.081310881    0.002683646    0.003873752    0.017838167    0.114867392
0.1820  -0.082013187    0.002744667    0.003960364    0.018006569    0.114824757
0.1830  -0.082719849    0.002806745    0.004048432    0.018175163    0.114782066
0.1840  -0.083430895    0.002869892    0.004137973    0.018343936    0.114739324
0.1850  -0.084146356    0.002934121    0.004229005    0.018512871    0.114696534
0.1860  -0.084866259    0.002999446    0.004321545    0.018681954    0.114653700
0.1870  -0.085590634    0.003065880    0.004415609    0.018851169    0.114610826
0.1880  -0.086319511    0.003133435    0.004511216    0.019020500    0.114567916
0.1890  -0.087052919    0.003202126    0.004608382    0.019189932    0.114524973
0.1900  -0.087790888    0.003271966    0.004707126    0.019359448    0.114482001
0.1910  -0.088533446    0.003342968    0.004807466    0.019529033    0.114439004
0.1920  -0.089280624    0.003415147    0.004909418    0.019698671    0.114395986
0.1930  -0.090032451    0.003488515    0.005013002    0.019868344    0.114352951
0.1940  -0.090788957    0.003563088    0.005118235    0.020038037    0.114309903
0.1950  -0.091550171    0.003638878    0.005225136    0.020207732    0.114266846
0.1960  -0.092316124    0.003715900    0.005333723    0.020377412    0.114223784
0.1970  -0.093086845    0.003794169    0.005444015    0.020547061    0.114180722
0.1980  -0.093862364    0.003873699    0.005556031    0.020716661    0.114137662
0.1990  -0.094642711    0.003954503    0.005669790    0.020886194    0.114094611
0.2000  -0.095427916    0.004036598    0.005785310    0.021055644    0.114051572
0.2010  -0.096218009    0.004119997    0.005902611    0.021224991    0.114008548
0.2020  -0.097013020    0.004204715    0.006021712    0.021394219    0.113965546
0.2030  -0.097812979    0.004290767    0.006142633    0.021563309    0.113922568
0.2040  -0.098617917    0.004378168    0.006265393    0.021732242    0.113879619
0.2050  -0.099427863    0.004466934    0.006390012    0.021901001    0.113836705
0.2060  -0.100242848    0.004557079    0.006516511    0.022069566    0.113793828
0.2070  -0.101062902    0.004648619    0.006644909    0.022237919    0.113750995
0.2080  -0.101888055    0.004741569    0.006775226    0.022406040    0.113708209
0.2090  -0.102718338    0.004835946    0.006907484    0.022573910    0.113665475
0.2100  -0.103553781    0.004931764    0.007041702    0.022741510    0.113622798
0.2110  -0.104394415    0.005029040    0.007177902    0.022908821    0.113580182
