#1000 pts per wavenumber up to wavenumber=2000
#100 pts per wavenumber after wavenumber=2000
#x   qext   qsca   qback   gsca   p180
222.0   2.0707   2.0707   1.6926   0.0000   0.0650
223.0   2.0867   2.0867   1.7894   0.0000   0.0682
224.0   2.0873   2.0873   1.6340   0.0000   0.0623
225.0   2.0736   2.0736   1.2080   0.0000   0.0464
226.0   2.0510   2.0510   1.2706   0.0000   0.0493
227.0   2.0299   2.0299   1.1792   0.0000   0.0462
228.0   2.0201   2.0201   1.5454   0.0000   0.0609
229.0   2.0244   2.0244   1.3517   0.0000   0.0531
230.0   2.0400   2.0400   1.3525   0.0000   0.0528
231.0   2.0601   2.0601   1.3995   0.0000   0.0541
232.0   2.0784   2.0784   1.7532   0.0000   0.0671
233.0   2.0851   2.0851   2.1067   0.0000   0.0804
234.0   2.0789   2.0789   1.7234   0.0000   0.0660
235.0   2.0600   2.0600   1.7881   0.0000   0.0691
236.0   2.0377   2.0377   1.5922   0.0000   0.0622
237.0   2.0220   2.0220   1.8823   0.0000   0.0741
238.0   2.0201   2.0201   1.4265   0.0000   0.0562
239.0   2.0315   2.0315   1.4412   0.0000   0.0565
240.0   2.0506   2.0506   1.0643   0.0000   0.0413
241.0   2.0698   2.0698   1.2147   0.0000   0.0467
242.0   2.0807   2.0807   1.1961   0.0000   0.0457
243.0   2.0803   2.0803   1.3282   0.0000   0.0508
244.0   2.0669   2.0669   1.4841   0.0000   0.0571
245.0   2.0465   2.0465   1.3597   0.0000   0.0529
246.0   2.0276   2.0276   1.7340   0.0000   0.0681
247.0   2.0190   2.0190   1.7887   0.0000   0.0705
248.0   2.0242   2.0242   2.4123   0.0000   0.0948
249.0   2.0407   2.0407   1.7239   0.0000   0.0672
250.0   2.0606   2.0606   1.8491   0.0000   0.0714
251.0   2.0755   2.0755   1.5342   0.0000   0.0588
252.0   2.0797   2.0797   1.9533   0.0000   0.0747
253.0   2.0714   2.0714   1.4870   0.0000   0.0571
254.0   2.0543   2.0543   1.3198   0.0000   0.0511
255.0   2.0343   2.0343   1.0834   0.0000   0.0424
256.0   2.0213   2.0213   1.1823   0.0000   0.0465
257.0   2.0200   2.0200   1.4542   0.0000   0.0573
258.0   2.0321   2.0321   1.4156   0.0000   0.0554
259.0   2.0504   2.0504   1.6236   0.0000   0.0630
260.0   2.0681   2.0681   1.5110   0.0000   0.0581
261.0   2.0774   2.0774   1.8948   0.0000   0.0726
262.0   2.0743   2.0743   1.7623   0.0000   0.0676
263.0   2.0609   2.0609   2.2065   0.0000   0.0852
264.0   2.0415   2.0415   1.6268   0.0000   0.0634
265.0   2.0254   2.0254   1.7265   0.0000   0.0678
266.0   2.0185   2.0185   1.4531   0.0000   0.0573
267.0   2.0256   2.0256   1.7055   0.0000   0.0670
268.0   2.0411   2.0411   1.5771   0.0000   0.0615
269.0   2.0596   2.0596   1.1978   0.0000   0.0463
270.0   2.0725   2.0725   1.2736   0.0000   0.0489
271.0   2.0748   2.0748   1.3273   0.0000   0.0509
272.0   2.0659   2.0659   1.7558   0.0000   0.0676
273.0   2.0493   2.0493   1.6472   0.0000   0.0640
274.0   2.0313   2.0313   1.7856   0.0000   0.0700
275.0   2.0197   2.0197   1.6177   0.0000   0.0637
276.0   2.0208   2.0208   1.9685   0.0000   0.0775
277.0   2.0325   2.0325   1.9659   0.0000   0.0770
278.0   2.0510   2.0510   1.8007   0.0000   0.0699
279.0   2.0665   2.0665   1.6768   0.0000   0.0646
280.0   2.0733   2.0733   1.4359   0.0000   0.0551
281.0   2.0688   2.0688   1.5297   0.0000   0.0588
282.0   2.0554   2.0554   1.4641   0.0000   0.0567
283.0   2.0381   2.0381   1.4557   0.0000   0.0568
284.0   2.0237   2.0237   1.2075   0.0000   0.0475
285.0   2.0188   2.0188   1.3482   0.0000   0.0531
286.0   2.0254   2.0254   1.4590   0.0000   0.0573
287.0   2.0415   2.0415   1.8164   0.0000   0.0708
288.0   2.0591   2.0591   1.8425   0.0000   0.0712
289.0   2.0705   2.0705   1.6827   0.0000   0.0647
290.0   2.0705   2.0705   1.9048   0.0000   0.0732
291.0   2.0602   2.0602   1.7792   0.0000   0.0687
292.0   2.0441   2.0441   2.3136   0.0000   0.0901
293.0   2.0288   2.0288   1.6419   0.0000   0.0644
294.0   2.0198   2.0198   1.6872   0.0000   0.0665
295.0   2.0213   2.0213   1.3671   0.0000   0.0538
296.0   2.0330   2.0330   1.5352   0.0000   0.0601
297.0   2.0500   2.0500   1.3910   0.0000   0.0540
298.0   2.0652   2.0652   1.4057   0.0000   0.0542
