#number of points averaged per size parameter = 4999
#   x       qext           qsca q          back             gsca            qp180
0.1100  -0.0792719516    0.0003098961    0.0004608333    0.0039104703    0.1183362933
0.1110  -0.0800432335    0.0003213929    0.0004778552    0.0039806757    0.1183178099
0.1120  -0.0808158367    0.0003332088    0.0004953453    0.0040514706    0.1182991715
0.1130  -0.0815897715    0.0003453497    0.0005133123    0.0041228536    0.1182803785
0.1140  -0.0823650479    0.0003578216    0.0005317648    0.0041948233    0.1182614313
0.1150  -0.0831416760    0.0003706307    0.0005507116    0.0042673784    0.1182423301
0.1160  -0.0839196658    0.0003837830    0.0005701614    0.0043405175    0.1182230754
0.1170  -0.0846990274    0.0003972847    0.0005901232    0.0044142392    0.1182036674
0.1180  -0.0854797708    0.0004111423    0.0006106060    0.0044885422    0.1181841067
0.1190  -0.0862619059    0.0004253618    0.0006316187    0.0045634250    0.1181643935
0.1200  -0.0870454428    0.0004399499    0.0006531706    0.0046388862    0.1181445282
0.1210  -0.0878303913    0.0004549128    0.0006752709    0.0047149243    0.1181245113
0.1220  -0.0886167613    0.0004702572    0.0006979289    0.0047915378    0.1181043431
0.1230  -0.0894045627    0.0004859895    0.0007211538    0.0048687254    0.1180840240
0.1240  -0.0901938054    0.0005021165    0.0007449553    0.0049464855    0.1180635543
0.1250  -0.0909844992    0.0005186449    0.0007693429    0.0050248166    0.1180429346
0.1260  -0.0917766538    0.0005355814    0.0007943262    0.0051037171    0.1180221651
0.1270  -0.0925702792    0.0005529328    0.0008199149    0.0051831855    0.1180012463
0.1280  -0.0933653849    0.0005707060    0.0008461188    0.0052632204    0.1179801786
0.1290  -0.0941619807    0.0005889080    0.0008729478    0.0053438200    0.1179589625
0.1300  -0.0949600764    0.0006075459    0.0009004119    0.0054249828    0.1179375983
0.1310  -0.0957596815    0.0006266266    0.0009285210    0.0055067072    0.1179160865
0.1320  -0.0965608058    0.0006461574    0.0009572854    0.0055889915    0.1178944274
0.1330  -0.0973634589    0.0006661454    0.0009867153    0.0056718342    0.1178726216
0.1340  -0.0981676503    0.0006865980    0.0010168208    0.0057552335    0.1178506694
0.1350  -0.0989733897    0.0007075224    0.0010476125    0.0058391879    0.1178285713
0.1360  -0.0997806865    0.0007289262    0.0010791008    0.0059236955    0.1178063278
0.1370  -0.1005895504    0.0007508166    0.0011112962    0.0060087547    0.1177839393
0.1380  -0.1013999908    0.0007732014    0.0011442094    0.0060943638    0.1177614062
